country,region,sub-region
Afghanistan,Asia,Southern Asia
Albania,Europe,Southern Europe
Algeria,Africa,Northern Africa
Andorra,Europe,Southern Europe
Angola,Africa,Middle Africa
Anguilla,Americas,Caribbean
Antigua and Barbuda,Americas,Caribbean
Argentina,Americas,South America
Armenia,Asia,Western Asia
Aruba,Americas,Caribbean
Australia,Oceania,Australia and New Zealand
Austria,Europe,Western Europe
Azerbaijan,Asia,Western Asia
Bahamas,Americas,Caribbean
Bahrain,Asia,Western Asia
Bangladesh,Asia,Southern Asia
Barbados,Americas,Caribbean
Belarus,Europe,Eastern Europe
Belgium,Europe,Western Europe
Belize,Americas,Central America
Benin,Africa,Western Africa
Bermuda,Americas,Northern America
Bhutan,Asia,Southern Asia
Bolivia,Americas,South America
Bosnia and Herzegovina,Europe,Southern Europe
Botswana,Africa,Southern Africa
Brazil,Americas,South America
British Virgin Islands,Americas,Caribbean
Brunei,Asia,South-Eastern Asia
Bulgaria,Europe,Eastern Europe
Burkina Faso,Africa,Western Africa
Burundi,Africa,Eastern Africa
Cambodia,Asia,South-Eastern Asia
Cameroon,Africa,Middle Africa
Canada,Americas,Northern America
Cape Verde,Africa,Western Africa
Cayman Islands,Americas,Caribbean
Chad,Africa,Middle Africa
Chile,Americas,South America
China,Asia,Eastern Asia
Colombia,Americas,South America
Comoros,Africa,Eastern Africa
Congo Dem Rep ,Africa,Middle Africa
Congo Rep ,Africa,Middle Africa
Costa Rica,Americas,Central America
Cote d Ivoire,Africa,Western Africa
Croatia,Europe,Southern Europe
Cuba,Americas,Caribbean
Cyprus,Asia,Western Asia
Denmark,Europe,Northern Europe
Djibouti,Africa,Eastern Africa
Dominica,Americas,Caribbean
Ecuador,Americas,South America
Egypt,Africa,Northern Africa
El Salvador,Americas,Central America
Equatorial Guinea,Africa,Middle Africa
Eritrea,Africa,Eastern Africa
Estonia,Europe,Northern Europe
Ethiopia,Africa,Eastern Africa
Faeroe Islands,Europe,Northern Europe
Fiji,Oceania,Melanesia
Finland,Europe,Northern Europe
France,Europe,Western Europe
French Guiana,Americas,South America
French Polynesia,Oceania,Polynesia
Gabon,Africa,Middle Africa
Gambia,Africa,Western Africa
Georgia,Asia,Western Asia
Germany,Europe,Western Europe
Ghana,Africa,Western Africa
Gibraltar,Europe,Southern Europe
Greece,Europe,Southern Europe
Greenland,Americas,Northern America
Grenada,Americas,Caribbean
Guadeloupe,Americas,Caribbean
Guatemala,Americas,Central America
Guinea,Africa,Western Africa
Guinea Bissau,Africa,Western Africa
Guyana,Americas,South America
Haiti,Americas,Caribbean
Honduras,Americas,Central America
Hong Kong China,Asia,Eastern Asia
Hungary,Europe,Eastern Europe
Iceland,Europe,Northern Europe
India,Asia,Southern Asia
Indonesia,Asia,South-Eastern Asia
Iran,Asia,Southern Asia
Iraq,Asia,Western Asia
Ireland,Europe,Northern Europe
Israel,Asia,Western Asia
Italy,Europe,Southern Europe
Jamaica,Americas,Caribbean
Japan,Asia,Eastern Asia
Jordan,Asia,Western Asia
Kazakhstan,Asia,Central Asia
Kenya,Africa,Eastern Africa
Kiribati,Oceania,Micronesia
Kuwait,Asia,Western Asia
Latvia,Europe,Northern Europe
Lebanon,Asia,Western Asia
Lesotho,Africa,Southern Africa
Liberia,Africa,Western Africa
Libya,Africa,Northern Africa
Lithuania,Europe,Northern Europe
Luxembourg,Europe,Western Europe
Macao China,Asia,Eastern Asia
Macedonia FYR,Europe,Southern Europe
Madagascar,Africa,Eastern Africa
Malawi,Africa,Eastern Africa
Malaysia,Asia,South-Eastern Asia
Maldives,Asia,Southern Asia
Mali,Africa,Western Africa
Malta,Europe,Southern Europe
Marshall Islands,Oceania,Micronesia
Martinique,Americas,Caribbean
Mauritania,Africa,Western Africa
Mauritius,Africa,Eastern Africa
Mexico,Americas,Central America
Micronesia Fed Sts ,Oceania,Micronesia
Moldova,Europe,Eastern Europe
Mongolia,Asia,Eastern Asia
Montenegro,Europe,Southern Europe
Montserrat,Americas,Caribbean
Morocco,Africa,Northern Africa
Mozambique,Africa,Eastern Africa
Myanmar,Asia,South-Eastern Asia
Namibia,Africa,Southern Africa
Nauru,Oceania,Micronesia
Nepal,Asia,Southern Asia
Netherlands,Europe,Western Europe
Netherlands Antilles,Americas,Caribbean
New Caledonia,Oceania,Melanesia
New Zealand,Oceania,Australia and New Zealand
Nicaragua,Americas,Central America
Niger,Africa,Western Africa
Nigeria,Africa,Western Africa
Niue,Oceania,Polynesia
Norway,Europe,Northern Europe
Oman,Asia,Western Asia
Pakistan,Asia,Southern Asia
Palau,Oceania,Micronesia
Panama,Americas,Central America
Papua New Guinea,Oceania,Melanesia
Paraguay,Americas,South America
Peru,Americas,South America
Philippines,Asia,South-Eastern Asia
Poland,Europe,Eastern Europe
Portugal,Europe,Southern Europe
Qatar,Asia,Western Asia
Reunion,Africa,Eastern Africa
Romania,Europe,Eastern Europe
Russia,Europe,Eastern Europe
Rwanda,Africa,Eastern Africa
Samoa,Oceania,Polynesia
Sao Tome and Principe,Africa,Middle Africa
Saudi Arabia,Asia,Western Asia
Senegal,Africa,Western Africa
Serbia,Europe,Southern Europe
Seychelles,Africa,Eastern Africa
Sierra Leone,Africa,Western Africa
Singapore,Asia,South-Eastern Asia
Slovak Republic,Europe,Eastern Europe
Slovenia,Europe,Southern Europe
Solomon Islands,Oceania,Melanesia
Somalia,Africa,Eastern Africa
South Africa,Africa,Southern Africa
Spain,Europe,Southern Europe
Sri Lanka,Asia,Southern Asia
Sudan,Africa,Northern Africa
Suriname,Americas,South America
Swaziland,Africa,Southern Africa
Sweden,Europe,Northern Europe
Switzerland,Europe,Western Europe
Syria,Asia,Western Asia
Taiwan,Asia,Eastern Asia
Tajikistan,Asia,Central Asia
Tanzania,Africa,Eastern Africa
Thailand,Asia,South-Eastern Asia
Timor Leste,Asia,South-Eastern Asia
Togo,Africa,Western Africa
Tonga,Oceania,Polynesia
Trinidad and Tobago,Americas,Caribbean
Tunisia,Africa,Northern Africa
Turkey,Asia,Western Asia
Turkmenistan,Asia,Central Asia
Turks and Caicos Islands,Americas,Caribbean
Uganda,Africa,Eastern Africa
Ukraine,Europe,Eastern Europe
United Arab Emirates,Asia,Western Asia
United Kingdom,Europe,Northern Europe
United States,Americas,Northern America
Uruguay,Americas,South America
Uzbekistan,Asia,Central Asia
Wallis et Futuna,Oceania,Polynesia
Vanuatu,Oceania,Melanesia
Venezuela,Americas,South America
West Bank and Gaza,Asia,Western Asia
Western Sahara,Africa,Northern Africa
Vietnam,Asia,South-Eastern Asia
Zambia,Africa,Eastern Africa
Zimbabwe,Africa,Eastern Africa
